DateStock,No_,Description,Gen_Prod_Posting Group,Quantité,Cout,Site,Encours,Nom abrégé,GroupeItem,GroupeClient,Quantit
2026-03-31,ART-1007,Flexible Hydraulique 2SN DN10,COMPOSANT,1444.12,612.5,DEPOT NORD,0,FLEX-HYD10,HYDRAULIQUE,EXPORT_EU,1444.12
31/01/2026,ART-1366,Article Industriel 366 Metallurgie,COMPOSANT,1111.7,395.72,DEPOT NORD,0,ART-366,METALLURGIE,CLIENT_AUTO,1111.7
2026-04-05,ART-1341,Article Industriel 341 Emballage,MAT_PREM,609.83,320.32,ATELIER 1,0,ART-341,EMBALLAGE,CLIENT_AERO,609.83
05/04/2026,ART-1122,Article Industriel 122 Plastique,ACHAT_DIR,19.67,559.87,MAGASIN CENTRAL,1,ART-122,PLASTIQUE,EXPORT_EU,19.67
2026-04-05,ART-1356,Article Industriel 356 Hydraulique,EMBALLAGE,699.64,587.88,DEPOT NORD,0,ART-356,HYDRAULIQUE,INTERNE,699.64
2026-04-05,ART-1578,Article Industriel 578 Visserie,EMBALLAGE,1119.75,418.04,DEPOT B,1,ART-578,,CLIENT_AERO,1119.75
2026-04-15,ART-1402,Article Industriel 402 Plastique,MAT_PREM,555.71,24.34,DEPOT A,0,ART-402,PLASTIQUE,EXPORT_EU,555.71
2026-04-30,ART-1344,Article Industriel 344 Electronique,ACHAT_DIR,461.62,281.4,DEPOT B,0,ART-344,ELECTRONIQUE,INTERNE,461.62
2026-03-05,ART-1597,Article Industriel 597 Visserie,ACHAT_DIR,438.47,84.25,ATELIER 1,0,ART-597,VISSERIE,CLIENT_AUTO,438.47
2026-03-31,ART-1554,Article Industriel 554 Divers,COMPOSANT,114.2,197.62,MAGASIN CENTRAL,0,ART-554,DIVERS,CLIENT_AUTO,114.2
2026-03-05,ART-1402,Article Industriel 402 Plastique,MAT_PREM,1406.14 u,397.99,MAGASIN CENTRAL,0,ART-402,PLASTIQUE,CLIENT_AERO,1406.14
2026-02-28,ART-1259,Article Industriel 259 Emballage,PROD_FINI,1133.61,51.23,ATELIER 1,0,ART-259,EMBALLAGE,DIVERS_LOCAL,1133.61
2026-01-05,ART-1024,Carter Supérieur Fonte Mégane,PROD_FINI,369.32,43.79,ATELIER 1,0,CART-SUP-MEG,METALLURGIE,DIVERS_LOCAL,369.32
2026-03-05,art-1606,Article Industriel 606 Metallurgie,ACHAT_DIR,497.07,375.14,DEPOT A,0,ART-606,METALLURGIE,CLIENT_AUTO,497.07
2026-02-28,ART-1181,Article Industriel 181 Emballage,EMBALLAGE,723.74,604.01,DEPOT B,1,ART-181,EMBALLAGE,INTERNE,723.74
2026-01-05,ART-1671,Article Industriel 671 Metallurgie,COMPOSANT,952.37,123.87,ATELIER 1,1,ART-671,METALLURGIE,INTERNE,952.37
2026-01-31,ART-1562,Article Industriel 562 Electronique,EMBALLAGE,799.86,35.03,DEPOT A,0,ART-562,ELECTRONIQUE,EXPORT_EU,799.86
2026-01-15,ART-1369,Article Industriel 369 Plastique,EMBALLAGE,214.76,254.44,DEPOT A,0,ART-369,PLASTIQUE,CLIENT_AUTO,214.76
2026-01-31,,Article Industriel 143 Visserie,MAT_PREM,325.34,411.77,DEPOT B,0,ART-143,VISSERIE,CLIENT_AERO,325.34
2026-01-31,ART-1790,Article Industriel 790 Electronique,MAT_PREM,1234.48,78.85,MAGASIN CENTRAL,0,ART-790,ELECTRONIQUE,EXPORT_EU,1234.48
2026-04-15,ART-1559,Article Industriel 559 Divers,MAT_PREM,44.97,152.39,DEPOT B,0,ART-559,DIVERS,CLIENT_AERO,44.97
2026-04-30,ART-1423,Article Industriel 423 Visserie,COMPOSANT,244.91,561.17,DEPOT A,0,ART-423,VISSERIE,DIVERS_LOCAL,244.91
2026-04-30,ART-1416,Article Industriel 416 Hydraulique,MAT_PREM,"140,77",281.4,DEPOT NORD,0,ART-416,HYDRAULIQUE,DIVERS_LOCAL,140.77
2026-03-31,ART-1790,Article Industriel 790 Electronique,MAT_PREM,1319.69,342.57,DEPOT NORD,0,ART-790,ELECTRONIQUE,DIVERS_LOCAL,1319.69
31/03/2026,ART-1286,Article Industriel 286 Metallurgie,ACHAT_DIR,237.78,166.75,ATELIER 1,0,ART-286,METALLURGIE,EXPORT_EU,237.78
2026-03-05,ART-1461,Article Industriel 461 Electronique,EMBALLAGE,419.38,350.03,DEPOT B,0,ART-461,ELECTRONIQUE,CLIENT_AUTO,419.38
2026-01-05,ART-1681,Article Industriel 681 Metallurgie,COMPOSANT,1231.02,271.5,DEPOT A,0,ART-681,METALLURGIE,CLIENT_AERO,1231.02
2026-03-05,ART-1539,Article Industriel 539 Divers,PROD_FINI,"1142,53",395.64,DEPOT NORD,0,ART-539,DIVERS,CLIENT_AUTO,1142.53
2026-02-05,ART-1200,Article Industriel 200 Divers,ACHAT_DIR,526.71,449.79,MAGASIN CENTRAL,0,ART-200,DIVERS,EXPORT_EU,526.71
2026-02-05,ART-1213,Article Industriel 213 Divers,ACHAT_DIR,902.32,182.81,ATELIER 1,0,ART-213,DIVERS,EXPORT_EU,902.32
2026-03-15,ART-1084,Article Industriel 84 Plastique,PROD_FINI,667.82,207.85,DEPOT NORD,0,ART-84,PLASTIQUE,DIVERS_LOCAL,667.82
2026-03-15,ART-1680,Article Industriel 680 Electronique,COMPOSANT,108.07,341.14,ATELIER 1,0,ART-680,ELECTRONIQUE,DIVERS_LOCAL,108.07
2026-02-15,ART-1013,Granulé ABS Noir Injecteur,MAT_PREM,817.91,404.6,DEPOT NORD,0,GRAN-ABS-N,PLASTIQUE,CLIENT_AUTO,817.91
2026-02-05,ART-1001,Boulon M8x30 Inox 316,COMPOSANT,134.39,136.17,ATELIER 1,0,BOUL-M8,VISSERIE,DIVERS_LOCAL,134.39
2026-04-30,art-1309,Article Industriel 309 Divers,MAT_PREM,872.89,20.94,MAGASIN CENTRAL,0,ART-309,DIVERS,INTERNE,872.89
2026-02-05,ART-1277,Article Industriel 277 Hydraulique,ACHAT_DIR,999999,566.38,DEPOT A,1,ART-277,HYDRAULIQUE,CLIENT_AERO,769.91
2026-04-30,ART-1464,Article Industriel 464 Electronique,EMBALLAGE,1463.58,580.0,MAGASIN CENTRAL,0,ART-464,ELECTRONIQUE,EXPORT_EU,1463.58
2026-03-31,ART-1282,Article Industriel 282 Hydraulique,MAT_PREM,1471.43,166.28,DEPOT NORD,0,ART-282,HYDRAULIQUE,EXPORT_EU,1471.43
2026-02-28,ART-1196,Article Industriel 196 Visserie,ACHAT_DIR,84.8,213.18,MAGASIN CENTRAL,0,ART-196,VISSERIE,CLIENT_AUTO,84.8
2026-01-15,ART-1245,Article Industriel 245 Divers,MAT_PREM,723.87,142.39,DEPOT B,0,ART-245,DIVERS,DIVERS_LOCAL,723.87
2026-04-05,ART-1695,Article Industriel 695 Plastique,PROD_FINI,636.34,583.02,Dépôt A,0,ART-695,PLASTIQUE,CLIENT_AERO,636.34
2026-03-15,ART-1576,Article Industriel 576 Visserie,COMPOSANT,414.01,649.85,ATELIER 1,1,ART-576,VISSERIE,CLIENT_AUTO,414.01
2026-01-15,ART-1089,Article Industriel 89 Metallurgie,COMPOSANT,1182.65,527.01,DEPOT A,0,ART-89,METALLURGIE,CLIENT_AUTO,1182.65
2026-02-15,ART-1543,Article Industriel 543 Plastique,COMPOSANT,460.27,203.59,DEPOT A,0,ART-543,PLASTIQUE,EXPORT_EU,460.27
2026-02-28,ART-1381,Article Industriel 381 Metallurgie,EMBALLAGE,1409.67,470.64,,1,ART-381,METALLURGIE,CLIENT_AUTO,1409.67
2026-04-15,ART-1098,Article Industriel 98 Divers,EMBALLAGE,1139.77,83.38,ATELIER 1,0,ART-98,DIVERS,CLIENT_AUTO,1139.77
2026-01-31,ART-1786,Article Industriel 786 Divers,PROD_FINI,1341.29,104.17,DEPOT A,1,ART-786,DIVERS,DIVERS_LOCAL,1341.29
2026-01-31,ART-1597,Article Industriel 597 Visserie,ACHAT_DIR,596.36,82.11,ATELIER 1,0,ART-597,VISSERIE,CLIENT_AUTO,596.36
31/03/2026,ART-1223,Article Industriel 223 Divers,ACHAT_DIR,66.97,380.78,ATELIER 1,0,ART-223,DIVERS,DIVERS_LOCAL,66.97
2026-04-15,ART-1760,Article Industriel 760 Emballage,COMPOSANT,1440.81,52.14,DEPOT NORD,0,ART-760,ÉMBALLAGÉ,DIVERS_LOCAL,1440.81
2026-03-15,ART-1700,Article Industriel 700 Hydraulique,EMBALLAGE,207.92,367.86,ATELIER 1,0,ART-700,HYDRAULIQUE,CLIENT_AERO,207.92
2026-01-05,ART-1402,Article Industriel 402 Plastique,MAT_PREM,1130.68,0.00,ATELIER 1,0,ART-402,PLASTIQUE,EXPORT_EU,1130.68
2026-01-31,ART-1521,Article Industriel 521 Visserie,ACHAT_DIR,913.41,318.71,DEPOT NORD,1,ART-521,VISSERIE,DIVERS_LOCAL,913.41
2026-04-15,ART-1162,Article Industriel 162 Electronique,COMPOSANT,1245.16,575.79,DEPOT NORD,1,ART-162,ELECTRONIQUE,CLIENT_AERO,1245.16
2026-01-05,ART-1270,Article Industriel 270 Hydraulique,COMPOSANT,378.83,231.72,atelier 1,0,ART-270,HYDRAULIQUE,CLIENT_AERO,378.83
2026-02-28,ART-1252,Article Industriel 252 Hydraulique,PROD_FINI,812.03,-608.35,ATELIER 1,1,ART-252,HYDRAULIQUE,INTERNE,812.03
2026-01-31,ART-1791,Article Industriel 791 Visserie,EMBALLAGE,1454.01,568.21,DEPOT A,0,ART-791,VISSERIE,CLIENT_AUTO,1454.01
2026-04-30,ART-1088,Article Industriel 88 Metallurgie,ACHAT_DIR,676.07,391.94,DEPOT NORD,0,ART-88,METALLURGIE,INTERNE,676.07
2026-02-15,ART-1144,ARTICLE INDUSTRIEL 144 ELECTRONIQUE,MAT_PREM,701.88,633.03,ATELIER 1,0,ART-144,ELECTRONIQUE,CLIENT_AERO,701.88
2026-01-31,ART-1071,ARTICLE INDUSTRIEL 71 PLASTIQUE,EMBALLAGE,315.9,551.98,ATELIER 1,0,ART-71,PLASTIQUE,INTERNE,315.9
2026-01-31,ART-1093,Article Industriel 93 Emballage,MAT_PREM,1212.36,198.78,DEPOT NORD,0,ART-93,EMBALLAGE,CLIENT_AERO,1212.36
2026-04-15,ART-1740,Article Industriel 740 Metallurgie,COMPOSANT,105.26,208.11,MAGASIN CENTRAL,99,ART-740,METALLURGIE,DIVERS_LOCAL,105.26
2026-03-05,ART-1455,Article Industriel 455 Emballage,COMPOSANT,189.77,165.4,DEPOT B,0,ART-455,EMBALLAGE,CLIENT_AUTO,189.77
2026-04-15,ART-1691,Article Industriel 691 Divers,EMBALLAGE,441.73,150.37,DEPOT NORD,1,ART-691,DIVERS,CLIENT_AERO,441.73
2026-04-05,ART-1428,Article Industriel 428 Hydraulique,ACHAT_DIR,263.84,451.86 TND,MAGASIN CENTRAL,0,ART-428,HYDRAULIQUE,INTERNE,263.84
2026-03-31,ART-1173,Article Industriel 173 Emballage,MAT_PREM,1065.79,27.77,ATELIER 1,0,ART-173,EMBALLAGE,INTERNE,1065.79
2026-02-05,ART-1614,Article Industriel 614 Hydraulique,COMPOSANT,84.31,494.67,ATELIER 1,0,ART-614,HYDRAULIQUE,CLIENT_AUTO,84.31
2026-04-30,ART-1056,Article Industriel 56 Emballage,COMPOSANT,58.67,191.28,MAGASIN CENTRAL,0,ART-56,EMBALLAGE,CLIENT_AERO,58.67
2026-01-05,ART-1699,Article Industriel 699 Electronique,MAT_PREM,1307.51,371.4,DEPOT A,0,ART-699,ELECTRONIQUE,EXPORT_EU,1307.51
2026-04-30,ART-1041,Article Industriel 41 Emballage,PROD_FINI,1204.83,195.38,MAGASIN CENTRAL,1,ART-41,EMBALLAGE,CLIENT_AUTO,1204.83
2026-02-05,ART-1116,Article Industriel 116 Divers,ACHAT_DIR,611.22,116.66,DEPOT NORD,0,ART-116,DIVERS,EXPORT_EU,611.22
2026-04-05,ART-1063,Article Industriel 63 Metallurgie,COMPOSANT,194.13,195.15,DEPOT B,1,ART-63,METALLURGIE,DIVERS_LOCAL,194.13
2026-04-15,ART-1588,Article Industriel 588 Plastique,COMPOSANT,236.17,318.12,DEPOT A,0,ART-588,PLASTIQUE,EXPORT_EU,236.17
2026-03-15,ART-1509,Article Industriel 509 Emballage,ACHAT_DIR,1218.16,378.98,DEPOT NORD,0,ART-509,EMBALLAGE,DIVERS_LOCAL,1218.16
05-01-2026,ART-1461,Article Industriel 461 Electronique,EMBALLAGE,656.03,20.5,DEPOT B,0,ART-461,ELECTRONIQUE,INTERNE,656.03
2026-04-15,ART-1434,Article Industriel 434 Visserie,,1361.56,14.0,DEPOT A,0,ART-434,VISSERIE,CLIENT_AERO,1361.56
2026-04-15,ART-1085,Article Industriel 85 Electronique,ACHAT_DIR,61.6,111.28,DEPOT B,0,ART-85,ELECTRONIQUE,DIVERS_LOCAL,61.6
2026-04-05,ART-1360,Article Industriel 360 Divers,MAT_PREM,932.55,63.55,DEPOT A,0,ART-360,DIVERS,CLIENT_AERO,932.55
2026-02-05,ART-1609,Article Industriel 609 Divers,PROD_FINI,86.28,210.43,DEPOT B,0,ART-609,DIVERS,EXPORT_EU,86.28
2026-03-31,ART-1326,Article Industriel 326 Visserie,PROD_FINI,598.73,99.08,MAGASIN CENTRAL,0,ART-326,VISSERIE,INTERNE,598.73
2026-01-05,ART-1594,Article Industriel 594 Emballage,PROD_FINI,858.77,238.71,ATELIER 1,0,ART-594,EMBALLAGE,INTERNE,858.77
2026-04-30,ART-1447,Article Industriel 447 Hydraulique,EMBALLAGE,249.03,157.14,DEPOT NORD,0,ART-447,HYDRAULIQUE,CLIENT_AUTO,249.03
2026-02-28,ART-1136,Article Industriel 136 Metallurgie,ACHAT_DIR,1022.16,428.22,DEPOT B,0,ART-136,METALLURGIE,INTERNE,1022.16
2026-03-15,ART-1683,Article Industriel 683 Emballage,EMBALLAGE,782.64,366.95,MAGASIN CENTRAL,0,ART-683,EMBALLAGE,CLIENT_AUTO,782.64
2026-03-31,ART-1297,Article Industriel 297 Electronique,MAT_PREM,263.73,195.97,DEPOT NORD,0,ART-297,ELECTRONIQUE,CLIENT_AERO,263.73
2026-02-15,ART-1775,Article Industriel 775 Hydraulique,,303.98,46.47,ATELIER 1,0,ART-775,HYDRAULIQUE,CLIENT_AUTO,303.98
2026-02-15,ART-1362,Article Industriel 362 Plastique,EMBALLAGE,772.8,285.34,ATELIER 1,0,ART-362,PLASTIQUE,EXPORT_EU,772.8
2026-04-05,ART-1328,Article Industriel 328 Emballage,MAT_PREM,1360.42,88.89,MAGASIN CENTRAL,0,ART-328,EMBALLAGE,DIVERS_LOCAL,1360.42
2026-02-28,ART-1679,Article Industriel 679 Electronique,EMBALLAGE,1024.29,454.46,DEPOT A,0,ART-679,ELECTRONIQUE,CLIENT_AERO,1024.29
2026-01-31,ART-1488,Article Industriel 488 Visserie,PROD_FINI,242.39,593.7,DEPOT NORD,1,ART-488,VISSERIE,CLIENT_AERO,242.39
2026-04-15,ART-1311,Article Industriel 311 Plastique,EMBALLAGE,955.87,22.96,DEPOT NORD,0,ART-311,PLASTIQUE,EXPORT_EU,955.87
2026-01-15,ART-1233,Article Industriel 233 Divers,,904.77,639.91,ATELIER 1,1,ART-233,DIVERS,CLIENT_AERO,904.77
2026-02-05,ART-1317,Article Industriel 317 Emballage,PROD_FINI,145.81,77.33,DEPOT NORD,0,ART-317,EMBALLAGE,CLIENT_AUTO,145.81
2026-02-15,ART-1712,Article Industriel 712 Electronique,COMPOSANT,434.01,520.95,MAGASIN CENTRAL,1,ART-712,ELECTRONIQUE,CLIENT_AERO,434.01
2026-03-05,ART-1646,Article Industriel 646 Emballage,ACHAT_DIR,703.57,180.91,ATELIER 1,0,ART-646,EMBALLAGE,CLIENT_AUTO,703.57
2026-01-15,ART-1095,Article Industriel 95 Emballage,EMBALLAGE,723.37,249.56,DEPOT A,0,ART-95,EMBALLAGE,CLIENT_AERO,723.37
2026-04-30,ART-1661,Article Industriel 661 Hydraulique,EMBALLAGE,1269.95,614.38,DEPOT NORD,0,ART-661,HYDRAULIQUE,INTERNE,1269.95
31/01/2026,ART-1594,Article Industriel 594 Emballage,PROD_FINI,1462.52,163.16,MAGASIN CENTRAL,0,ART-594,EMBALLAGE,INTERNE,1462.52
2026-04-30,ART-1481,Article Industriel 481 Electronique,ACHAT_DIR,60.0,431.33,DEPOT B,0,ART-481,ELECTRONIQUE,CLIENT_AERO,60.0
2026-03-05,ART-1724,Article Industriel 724 Divers,EMBALLAGE,394.82,257.82,ATELIER 1,0,ART-724,DIVERS,INTERNE,394.82
2026-01-15,ART-1772,Article Industriel 772 Hydraulique,PROD_FINI,1150.34,453.01,ATELIER 1,0,ART-772,HYDRAULIQUE,DIVERS_LOCAL,1150.34
2026-01-05,ART-1721,Article Industriel 721 Divers,MAT_PREM,874.16,433.98,DEPOT A,0,ART-721,DIVERS,CLIENT_AUTO,874.16
2026-03-05,ART-1288,Article Industriel 288 Metallurgie,ACHAT_DIR,687.95,269.42,DEPOT B,0,ART-288,METALLURGIE,CLIENT_AERO,687.95
2026-02-15,ART-1129,Article Industriel 129 Divers,PROD_FINI,270.86,39.8,DEPOT A,0,ART-129,DIVERS,INTERNE,270.86
2026-03-31,ART-1430,Article Industriel 430 Visserie,ACHAT_DIR,1081.55,"396,48",DEPOT B,0,ART-430,VISSERIE,INTERNE,1081.55
2026-03-05,ART-1213,Article Industriel 213 Divers,ACHAT_DIR,1417.24,340.64,ATELIER 1,0,ART-213,DIVERS,EXPORT_EU,1417.24
2026-02-05,ART-1047,Article Industriel 47 Metallurgie,MAT_PREM,900.62,141.83,DEPOT A,0,ART-47,METALLURGIE,EXPORT_EU,900.62
2026-03-15,ART-1791,Article Industriel 791 Visserie,EMBALLAGE,268.15,61.59,ATELIER 1,0,ART-791,VISSERIE,CLIENT_AERO,268.15
2026-03-15,ART-1662,Article Industriel 662 Plastique,PROD_FINI,1095.21,137.6,MAGASIN CENTRAL,1,ART-662,PLASTIQUE,CLIENT_AERO,1095.21
2026-04-15,ART-1467,Article Industriel 467 Visserie,COMPOSANT,791.21,313.9,DEPOT B,1,ART-467,VISSERIE,DIVERS_LOCAL,791.21
2026-04-15,ART-1732,Article Industriel 732 Electronique,COMPOSANT,1424.78,254.75,DEPOT B,0,ART-732,ELECTRONIQUE,DIVERS_LOCAL,1424.78
2026-03-05,ART-1066,Article Industriel 66 Hydraulique,PROD_FINI,1275.73,407.13,DEPOT NORD,0,ART-66,HYDRAULIQUE,CLIENT_AUTO,1275.73
2026-02-05,ART-1505,Article Industriel 505 Metallurgie,EMBALLAGE,70.64,294.77,DEPOT NORD,0,ART-505,METALLURGIE,INTERNE,70.64
2026-01-15,ART-1711,Article Industriel 711 Emballage,COMPOSANT,1175.06,41.71,MAGASIN CENTRAL,0,ART-711,EMBALLAGE,INTERNE,1175.06
2026-01-31,ART-1192,Article Industriel 192 Divers,ACHAT_DIR,1389.49,119.01,DEPOT B,0,ART-192,DIVERS,EXPORT_EU,1389.49
2026-04-15,ART-1126,Article Industriel 126 Emballage,ACHAT_DIR,195.18,189.36,ATELIER 1,0,ART-126,EMBALLAGE,DIVERS_LOCAL,195.18
2026-01-15,ART-1154,Article Industriel 154 Emballage,EMBALLAGE,499.75,527.42,MAGASIN CENTRAL,0,ART-154,EMBALLAGE,EXPORT_EU,499.75
2026-02-05,ART-1290,Article Industriel 290 Visserie,EMBALLAGE,111.52,291.8,MAGASIN CENTRAL,0,ART-290,VISSERIE,INTERNE,111.52
2026-04-30,ART-1178,Article Industriel 178 Visserie,PROD_FINI,224.69,565.46,DEPOT B,0,ART-178,VISSERIE,EXPORT_EU,224.69
2026-01-15,,Article Industriel 493 Plastique,COMPOSANT,95.99,95.2,ATELIER 1,1,ART-493,PLASTIQUE,INTERNE,95.99
2026-04-05,ART-1062,Article Industriel 62 Emballage,MAT_PREM,855.62,423.62,DEPOT B,0,ART-62,EMBALLAGE,CLIENT_AUTO,855.62
2026-04-15,ART-1417,Article Industriel 417 Divers,MAT_PREM,420.55,572.04,MAGASIN CENTRAL,0,ART-417,DIVERS,INTERNE,420.55
2026-03-05,ART-1262,Article Industriel 262 Emballage,EMBALLAGE,181.2,244.91,DEPOT NORD,99,ART-262,EMBALLAGE,DIVERS_LOCAL,181.2
2026-02-05, ART-1325 ,Article Industriel 325 Plastique,MAT_PREM,784.65,276.57,MAGASIN CENTRAL,1,ART-325,PLASTIQUE,CLIENT_AUTO,784.65
2026-03-31,ART-1041,Article Industriel 41 Emballage,PROD_FINI,1493.54,84.0,DEPOT A,0,ART-41,EMBALLAGE,EXPORT_EU,1493.54
2026-01-15,ART-1270,Article Industriel 270 Hydraulique,COMPOSANT,771.58,166.53,DEPOT NORD,0,ART-270,HYDRAULIQUE,CLIENT_AERO,771.58
2026-02-05,ART-1006,Joint Torique FKM 25x3,COMPOSANT,224.21,192.63,DEPOT A,0,JOINT-FKM25,HYDRAULIQUE,EXPORT_EU,224.21
2026-01-05,ART-1583,Article Industriel 583 Visserie,PROD_FINI,22.87,154.51,MAGASIN CENTRAL,0,ART-583,VISSERIE,INTERNE,22.87
2026-02-05,art-1487,Article Industriel 487 Divers,COMPOSANT,436.77,435.63,DEPOT B,1,ART-487,DIVERS,CLIENT_AERO,436.77
2026-02-05,ART-1292,Article Industriel 292 Emballage,ACHAT_DIR,1126.96,451.91,MAGASIN CENTRAL,0,ART-292,EMBALLAGE,INTERNE,1126.96
2026-02-15,ART-1421,Article Industriel 421 Visserie,ACHAT_DIR,759.75,309.58,DEPOT A,0,ART-421,VISSERIE,INTERNE,759.75
2026-02-05,ART-1510,Article Industriel 510 Hydraulique,MAT_PREM,116.43,417.61,MAGASIN CENTRAL,1,ART-510,HYDRAULIQUE,CLIENT_AERO,116.43
2026-01-15,ART-1454,Article Industriel 454 Plastique,COMPOSANT,1313.07,584.46,Dépôt A,0,ART-454,PLASTIQUE,DIVERS_LOCAL,1313.07
2026-04-15,ART-1273,Article Industriel 273 Electronique,PROD_FINI,836.67,33.16,MAGASIN CENTRAL,1,ART-273,ELECTRONIQUE,EXPORT_EU,836.67
2026-01-05,ART-1034,Article Industriel 34 Plastique,PROD_FINI,931.55,60.81,DEPOT B,0,ART-34,PLASTIQUE,CLIENT_AUTO,931.55
2026-03-31,ART-1372,Article Industriel 372 Emballage,ACHAT_DIR,577.51,100.11,DEPOT B,0,ART-372,EMBALLAGE,CLIENT_AERO,577.51
2026-02-05,ART-1458,Article Industriel 458 Divers,MAT_PREM,1361.56,210.72,DEPOT NORD,0,ART-458,DIVERS,EXPORT_EU,1361.56
